scientific_name,ott_name,closest_relative
Desmodus rotundus,Desmodus rotundus,Rousettus aegyptiacus
Gopherus flavomarginatus,Gopherus flavomarginatus,Saxicola maurus
Laterallus jamaicensis coturniculus,Laterallus jamaicensis coturniculus,Saxicola maurus
Rallus limicola,Rallus limicola,Saxicola maurus
Epinephelus malabaricus,Epinephelus malabaricus,Pungitius pungitius
Arizona elegans,Arizona elegans,Thamnophis sirtalis
Squalius cephalus,Squalius cephalus,Cyprinus carpio
Vimba vimba,Vimba vimba,Cyprinus carpio
Lagopus muta,Lagopus muta,Gallus gallus domesticus
Zingel zingel,Zingel zingel,Pungitius pungitius
Romanogobio albipinnatus,Romanogobio albipinnatus,Cyprinus carpio
Semicossyphus pulcher,Semicossyphus pulcher,Larimichthys crocea
Crotalus helleri,Crotalus helleri,Thamnophis sirtalis
Cebidichthys violaceus,Cebidichthys violaceus,Pungitius pungitius
Elgaria multicarinata webbii,Elgaria multicarinata webbii,Pogona vitticeps
Aspidoscelis tigris stejnegeri,Aspidoscelis tigris,Thamnophis sirtalis
Diadophis punctatus similis,Diadophis punctatus similis,Thamnophis sirtalis
Actinemys pallida,Actinemys pallida,Saxicola maurus
Agelaius tricolor,Agelaius tricolor,Taeniopygia guttata
Thymallus thymallus,Thymallus thymallus,Salmo salar
Cottus gobio,Cottus gobio,Pungitius pungitius
Gymnocephalus cernua,Gymnocephalus cernua,Pungitius pungitius
Thamnophis sirtalis fitchi,Thamnophis sirtalis,Thamnophis sirtalis
Charina bottae,Charina bottae,Thamnophis sirtalis
Clinocottus analis,Clinocottus analis,Pungitius pungitius
Sander lucioperca,Sander lucioperca,Pungitius pungitius
Callipepla californica brunnescens,Callipepla californica,Gallus gallus domesticus
Clarias gariepinus,Clarias gariepinus,Cyprinus carpio
Sceloporus occidentalis,Sceloporus occidentalis,Pogona vitticeps
Channallabes apus,Channallabes apus,Cyprinus carpio
Vipera latastei,Vipera latastei,Thamnophis sirtalis
Spheniscus humboldti,Spheniscus humboldti,Pygoscelis adeliae
Spea bombifrons,Spea bombifrons,Mus musculus
Nycticebus coucang,Nycticebus coucang,Microcebus murinus
Ammospiza caudacuta,Ammospiza caudacuta,Taeniopygia guttata
Ammospiza nelsoni,Ammodramus nelsoni,Taeniopygia guttata
Neoarius graeffei,Neoarius graeffei,Cyprinus carpio
Haemorhous mexicanus,Haemorhous mexicanus,Taeniopygia guttata
Acridotheres tristis,Acridotheres tristis,Saxicola maurus
Falco cherrug,Falco cherrug,Saxicola maurus
Falco biarmicus,Falco biarmicus,Saxicola maurus
Falco peregrinus,Falco peregrinus,Saxicola maurus
Pseudorasbora parva,Pseudorasbora parva,Cyprinus carpio
Pleurodeles waltl,Pleurodeles waltl,Mus musculus
Setophaga petechia,Setophaga petechia,Taeniopygia guttata
Perognathus longimembris,Perognathus longimembris,Mus musculus
Peromyscus maniculatus sonoriensis,Peromyscus maniculatus sonoriensis,Mus musculus
Dipodomys merriami,Dipodomys merriami,Mus musculus
Phrynosoma blainvillii,Phrynosoma blainvillii,Pogona vitticeps
Ursus americanus,Ursus americanus,Ursus arctos
Elephas maximus indicus,Elephas maximus indicus,Procavia capensis
Chrysolophus pictus,Chrysolophus pictus,Gallus gallus domesticus
Mesoplodon densirostris,Mesoplodon densirostris,Tursiops truncatus
Symphalangus syndactylus,Symphalangus syndactylus,Hylobates lar
Pan troglodytes,Pan troglodytes,Pan troglodytes
Antrozous pallidus,Antrozous pallidus,Rousettus aegyptiacus
Plestiodon gilberti rubricaudatus,Plestiodon gilberti rubricaudatus,Thamnophis sirtalis
Melanerpes formicivorus,Melanerpes formicivorus,Bubo scandiacus
Cyanocitta stelleri,Cyanocitta stelleri,Saxicola maurus
Myotis yumanensis,Myotis yumanensis,Rousettus aegyptiacus
Puma concolor,Puma concolor,Felis catus
Nomascus leucogenys,Nomascus leucogenys,Hylobates lar
Macaca mulatta,Macaca mulatta,Macaca mulatta
Aotus nancymaae,Aotus nancymaae,Aotus nancymaae
Otocolobus manul,Otocolobus manul,Felis catus
Malaclemys terrapin pileata,Malaclemys terrapin,Saxicola maurus
